uID,Context,Prompt,Target
BNC-1283,"The guy with her I 'd never seen before. He was shortish and wiry, had a straight thin moustache and I guessed he was anywhere between 40 and 45.",the guy was a man out shopping with his daughter,If you couldn't see that they were outside a Registry Office you might have thought it was a man out shopping with his daughter.
BNC-1285,"No, my dear, you are just as tired as I am, and I shall rest presently in the dressing-room where I have made up a bed for myself. If I leave the door open I shall be able to hear him if his condition worsens.",the two girls had become bosom friends,To hear these ``my dears'' being so liberally dispensed you might have thought that the two girls had become bosom friends.
BNC-1291,The name Northcliffe was linked with raising equity on all five continents but not in such a conspicuous way that he himself garnered personal publicity. I never saw a photograph of him published.,those further disclosures would have had a powerful effect on her,You might have thought these further disclosures would have had a powerful effect on me but of course I was inured to surprise where this man was concerned.
BNC-1292,"The shadow was in the form of a vast spaceship resting near ours, and the last thing it looked was shadowy. The surface was gleaming with pure white and even purer gold.",no meteor shower no space dust had ever touched that brilliance,You might have thought that no meteor shower no space dust had ever touched that brilliance.
BNC-1294,I looked at the mouth of the mother of the girl whose mouth I couldn't get enough of kissing. I looked and I looked.,other people might take them for mother and daughter,But while I saw similarities (the forehead the set of the eyes) while I could understand that other people might take them for mother and daughter it didn't work for me.
BNC-1295,"That is to say, I did not take sufficient account of the fact that at that time of the day, what Mr Farraday enjoys is a conversation of a lighthearted, humorous sort. Knowing this to be his likely mood when I brought in the tea yesterday afternoon, and being aware of his general propensity to talk with me in a bantering tone at such moments, it would certainly have been wiser not to have mentioned Miss Kenton at all.",there was a natural tendency on her part to hint that there was a good professional motive behind her request,But you will perhaps understand that there was a natural tendency on my part in asking what was after all a generous favour from my employer to hint that there was a good professional motive behind my request.
BNC-1297,But don't dilly-dally for too long. Once it's published we are all going to look a little risible if we have made no adjustments to what is after all known as being predominantly my own design of gallery.,he doesn't want to drop dead without a proper and public recantation,Also I am a bit older than the rest of you but you can perhaps understand that I don't want to drop dead without a proper and public recantation.
BNC-1305,I asked him in for a break. I liked that about him.,the kettle was on,He never assumed the kettle was on or that I was free.
BNC-1309,"Dorothea had once tried to tell her this, but Alida Thorne had flushed with anger. ``Stop patronising me,'' she had shouted, ``stop pitying me!''",Alida would remember the incident,The incident had never been referred to again and Dorothea did not believe that Alida would remember it.
BNC-1315,"``The motor was running earlier, smooth as honey.'' Lissa accepted the comfort of his assurances.",something untoward was going to happen this afternoon,She did not really believe anything untoward was going to happen this afternoon.
BNC-1317,``The white man has blood. That is true.'',cattle are payment for taking someone's life,But the white man does not believe that cattle are payment for taking someone's life.
BNC-1322,Some of them will use their votes judiciously in order to bring about whichever outcome it is they seek. The defeat of the John Major government.,the Liberal Democrats can do any more than secure a hung parliament,No one of course believes that the Liberal Democrats can do any more than secure a hung parliament - but there is a very real possibility that this may happen and they are therefore a force to be considered.
